hotel,price,puntuacion,distancia_centro,descripcion
HOTEL RESIDENCIAL CAMACHO,798363,7.1,8.0,Habitación Doble Estándar con baño compartido - 2 camas
Viaggiato Duarte,1311127,9.3,18.0,Departamento de 1 dormitorio
Hotel Petit,1111124,7.0,2.0,Habitación Doble
Convivir Departamentos,1000012,7.7,112.0,Departamento
Rent a Flat,1589228,9.2,13.0,Departamento de 1 dormitorio con balcón
Departamentos Rondeau By Lugar,1220947,7.6,7.0,Departamento Estudio
Go Hostel,817788,7.8,16.0,Habitación Triple
Apartamentos Santa Rosa 2 B T1,1288813,8.3,33.0,Departamento de 1 dormitorio
Link Cordoba Hostel,721975,7.8,8.0,Habitación Doble Estándar - 2 camas
Córdoba Te Espera,656615,8.5,2.0,Habitación Doble - 1 o 2 camas
Amplio depto 2 Dorm Nva Cordoba,851176,,11.0,Departamento de 2 dormitorios
Departamento en Alta Córdoba con patio,671613,9.5,22.0,Departamento de 1 dormitorio
Departamento en Barrio Alberdi,587661,8.0,36.0,Departamento de 1 dormitorio
Exclusivo Duplex Atenea I,778903,9.5,1.0,Departamento de 2 dormitorios
Alquiler Temporal en Nueva Córdoba!,641983,8.9,11.0,Habitación Doble
Cómodo Depto en Nueva Cordoba,818940,8.0,9.0,Departamento de 1 dormitorio
Calasanz,795071,9.7,13.0,Departamento de 1 dormitorio
Departamento luminoso,629637,,24.0,Departamento de 1 dormitorio
Monoambiente Nva Cba,734577,4.0,11.0,Departamento de 1 dormitorio
Studio Chacabuco,909933,5.8,6.0,Loft
Departamento 1 habitación,755565,8.0,5.0,Departamento de 1 dormitorio
Habitación para 2 personas con baño privado,577785,5.8,27.0,Departamento de 1 dormitorio
Dean Funes 1 Habitación,671613,1.0,35.0,Departamento de 2 dormitorios
DPTO 3 CUADRAS SANATORIO ALLENDE - NVA CBA,1143132,7.4,16.0,Departamento de 1 dormitorio
metros Nuevo Centro shopping 2,680255,10.0,22.0,Departamento de 1 dormitorio
HOUSING CORDOBA - Monoambiente,784646,10.0,16.0,Departamento de 1 dormitorio
Dpto en Córdoba capital,1111124,9.0,11.0,Departamento de 1 dormitorio
Los Sueños se cumplen,850134,7.0,5.0,Departamento de 1 dormitorio
Dpto Ambrosio Olmos c/pileta,0,,,etc
Departamento con kitchenet. Entrada independiente.,734577,9.0,36.0,Departamento de 1 dormitorio
Cómodo y completo en el centro departamento,629637,1.0,12.0,Departamento de 1 dormitorio
Apartamento Alberdi Chic C,1045280,10.0,13.0,Departamento de 1 dormitorio
Departamentos en Barrio Gral Paz a pocos metros de clínicas,944456,10.0,21.0,Departamento de 1 dormitorio
Departamento cómodo cerca de todo,703712,1.0,13.0,Departamento de 1 dormitorio
Viaggiato Pio X,800010,8.5,15.0,Departamento de 1 dormitorio
Moderno departamento y cómodo cerca de todo,1000012,5.4,13.0,Departamento de 1 dormitorio
ANIMUS Home,0,,94.0,"a 0,9 km del centro"
1080 Apartments,888899,6.2,15.0,Departamento
Cofico apart,944456,9.5,19.0,Departamento de 1 dormitorio
Nueva Cordoba C/ pileta y asadores - DEPARTAMENTO PREMIUM,1243728,8.5,11.0,Departamento de 1 dormitorio
Dpto p 3 en pleno Nva. Córdoba,922069,9.0,7.0,Departamento de 1 dormitorio
Departamento cómodo muy cerca de todo,696305,7.6,28.0,Departamento de 1 dormitorio
Dpto Bv. San Juan - Córdoba,944456,7.8,12.0,Departamento de 2 dormitorios
Candelaria,1244459,9.8,29.0,Departamento de 1 dormitorio
Edificio La Toma Alto Alberdi Córdoba Argentina,1039025,9.0,33.0,Departamento de 1 dormitorio
Departamento interno con dos camas individuales,692601,9.0,24.0,Departamento de 1 dormitorio
pilay,1030136,6.8,17.0,Departamento de 1 dormitorio
No está disponible no alquilar,1049395,10.0,16.0,Departamento de 2 dormitorios
Temporarios Barrio General Paz,1111124,8.8,21.0,Departamento de 1 dormitorio
Alojamiento Cba Observatorio,822232,8.8,2.0,Departamento con balcón
DPTO C/PILE ASADOR QUINCHO - VISTA A LAS SIERRAS,1165995,8.9,18.0,Departamento de 1 dormitorio
Art & cozy home: ‘studiotubarca’,839516,1.0,500.0,Departamento de 1 dormitorio
Gran Parana,877047,,1.0,Departamento de 1 dormitorio
-El descanso-,1067027,7.0,5.0,Departamento de 2 dormitorios
Departamentos General Paz by Lugar,1165263,10.0,18.0,Departamento de 1 dormitorio
Viaggiato Catamarca,1288904,8.8,27.0,Departamento de 1 dormitorio
Departamento Traful,776552,,24.0,Departamento de 1 dormitorio
mariano moreno,821491,5.9,16.0,Departamento de 1 dormitorio
Cascadas Departamentos,960231,6.6,23.0,Departamento - Planta alta
Temporary Home 4 Pax Centro zona Capitalinas,1282594,10.0,11.0,Departamento de 1 dormitorio
Departamento zona norte cerca estadio kempes,0,,,$ 740.750
Departamento de 1 dormitorio con cochera y piscina,1259274,10.0,79.0,Departamento de 1 dormitorio
HOTEL HM,987666,6.1,1.0,Habitación Triple con baño privado
Dpto tipo Duplex c pileta Nva Cba,1133987,6.0,19.0,Departamento de 1 dormitorio
Novum Suites,927025,6.8,1.0,Habitación Doble Executive
Temporario torres,1209891,1.0,78.0,Departamento de 2 dormitorios
Santorini Bed II,797540,9.0,147.0,Casa de 1 dormitorio
B131 - Argentina,2076842,8.8,450.0,Departamento de 1 dormitorio
Departamentos en Gral Paz a pasos de clínicas,944456,9.8,21.0,Departamento de 1 dormitorio
Departamento Fragata - Alto Alberdi,844454,8.8,33.0,Departamento de 2 dormitorios
Bedoya,1111124,,21.0,Departamento de 1 dormitorio
ARTEDPTO,944456,9.8,117.0,Departamento de 1 dormitorio
Richardson,1007419,1.0,19.0,Departamento de 1 dormitorio
Nueva Córdoba Duomo,1747757,9.2,1.0,Departamento
Departamento Bv Illia By Lugar D276,1165254,10.0,8.0,Departamento de 1 dormitorio
Em Departamento Amoblado Cordoba,1414155,9.4,45.0,Departamento de 1 dormitorio
Espacio C Av Poeta Lugones GRAN VISTA,1265813,9.5,11.0,Departamento de 1 dormitorio
Tiempos Caribu,934350,10.0,13.0,Departamento de 1 dormitorio
alto villa sol,1235497,7.5,79.0,Departamento de 1 dormitorio
Apartamentos Santa Rosa 1B,1067054,8.5,33.0,Departamento de 1 dormitorio
Cordoba Yolanda Hotel,1165446,7.9,2.0,Habitación Doble - 1 o 2 camas
La Vecindad,419758,6.2,39.0,Departamento Superior
Villa Cabrera Apart and Suites,1125939,9.0,4.0,Departamento Estudio
Suquia,629637119,,34.0,Departamento de 1 dormitorio
departamento metros nuevo centro shopping,1042975,8.8,22.0,Departamento de 1 dormitorio
Nuevo departamento en Nueva Cordoba,1007419,5.5,13.0,Departamento de 1 dormitorio
Camino Real Hotel,1266682,6.8,9.0,Habitación Doble - 1 o 2 camas
Dto en Barrio Gral Paz,661242,,19.0,Departamento de 1 dormitorio
Marcelo T de Alvear 360,1469153,,7.0,Departamento de 1 dormitorio
Cordoba Inn departamentos temporarios,1414749,6.8,450.0,Departamento con balcón (2 adultos)
Silvana Village,1469153,7.5,13.0,Departamento de 2 dormitorios
Tranquilidad en cosquin,566673,4.8,34.0,Departamento de 1 dormitorio
mate! Hostel,790133,8.9,6.0,Habitación Doble con baño compartido
Independencia Housing,876453,,19.0,Departamento de 1 dormitorio
Apartamentos Santa Rosa PB3,1756765,9.4,29.0,Departamento de 2 dormitorios
Departamento con PILETA en GENERAL PAZ zona clínica Reina Fabiola,1382732,8.0,17.0,Departamento de 1 dormitorio
Dpto en terraforte 2 temporario,797540,,61.0,Departamento de 1 dormitorio
Duplex premium a 5 min del centro en Córdoba,1154335,7.3,19.0,Departamento de 1 dormitorio
Especial,1091371,,8.0,Departamento de 2 dormitorios
Hotel Alto Parana,1315141,7.1,7.0,Habitación Doble Estándar - 1 o 2 camas
Nva Cba. Bs As 441,936061,7.2,7.0,Departamento de 1 dormitorio
TRIPLEX Pet Friendly con COCHERA y TERRAZA con asador,1759280,8.8,25.0,Departamento de 2 dormitorios
Temporario ciudad gama,1209891,10.0,64.0,Departamento de 1 dormitorio
Pekistay900 apartamento moderno y cómodo muy buena ubicación,1111124,1.0,13.0,Departamento de 1 dormitorio
MyM Amoblado Categoría Luxury con pileta Excelente Ubicación,1483923,,45.0,Departamento de 1 dormitorio
NH Córdoba Urbano,1966635,8.2,6.0,Habitación Doble Estándar - 1 o 2 camas
Dpto doña coca alto villasol gama,1057790,10.0,79.0,Departamento de 1 dormitorio
Independencia 497,0,,75.0,"a 0,7 km del centro"
Departamento en Cañada,1200014,,2.0,Departamento de 1 dormitorio
Depto Pleno Nva Cba 2 personas,1398535,,7.0,Departamento de 1 dormitorio
Apart Hotel Magali,1453149,7.8,9.0,Departamento
Departamento elegante y completo exelente ubicación a metros de la terminal,1222237,7.5,7.0,Departamento de 1 dormitorio
2 DORMITORIOS CORAZON NUEVA CORDOBA c BALCON TERRAZA vista increible,2107935,6.8,9.0,Departamento de 2 dormitorios
Depto en complejo con cochera,1344460,,55.0,Departamento de 1 Dormitorio con balcón y vistas a la ciudad
Jardines del Boulevard 3,0,,85.0,"a 0,6 km del centro"
El apartamento Nueva Cordoba,1333349,,7.0,Departamento de 1 dormitorio
Departamento completo y elegante en Chacabuco,1444462,8.2,6.0,Departamento de 1 dormitorio
Villa Sol,1283966,9.4,13.0,Departamento de 1 dormitorio
M65 Luxury Apartments,2308669,9.5,24.0,Departamento Estándar
Departamento Fructuoso Rivera By Lugar D-241,1664775,,14.0,Departamento de 1 dormitorio
NH Córdoba Panorama,2337705,7.9,6.0,Habitación Doble Estándar - 1 o 2 camas
Altos de Chacabuco Planta Alta Apartamento temporario amoblado premium con cochera gratis,1481499,9.3,46.0,Departamento
2 Dormitorios Super Luminoso,2107935,7.8,17.0,Departamento de 2 dormitorios
Confortable depto en Torres H Guemes,1660742,,16.0,Departamento de 1 dormitorio
Gran Rex Hotel,1570883,7.4,9.0,Habitación Doble - 1 o 2 camas
Vilaut Smart Flat,1728416,8.8,400.0,Estudio Estándar (2 adultos)
Estudio - apartamento cómodo y acogedor SS1,1321461,9.4,450.0,Departamento de 1 dormitorio
Selina Nueva Cordoba,1275735,8.2,8.0,Habitación Estándar
Alquiler por día Cerro de las Rosas,1160508,9.5,66.0,Departamento de 1 dormitorio
Nuevo Illia,0,,77.0,"a 0,6 km del centro"
King David Flat Hotel - Argentina,2578906,8.1,6.0,Departamento Superior
Urban Pool & Grill,1049395,4.0,7.0,Departamento de 1 dormitorio
HOUSING CORDOBA - Cañada,2075928,9.0,8.0,Departamento de 2 dormitorios
Allogio Cordoba Apartments,1777799,7.0,9.0,Departamento de 2 dormitorios
Gran Hotel Victoria Cordoba Argentina,1901257,7.9,300.0,Suite Executive
ILLIA 164,0,,77.0,"a 0,6 km del centro"
Parana apartment,1679032,9.8,6.0,Departamento de 1 dormitorio
DPTO CHACABUCO pileta,0,,,"8,4"
Olmos Suites,2914987,8.9,500.0,Estudio Estándar
Casa.Temporal2,1018531,,122.0,Casa de 1 dormitorio
Amérian Cordoba Park Hotel,2673758,7.6,6.0,Habitación Doble Estándar
Departamento illia,1511129,4.5,7.0,Departamento de 1 dormitorio
Nva Cba Para Descansar y Disfrutar,1495326,,19.0,Departamento de 1 dormitorio
Jardines del Boulevard,2469165,8.1,6.0,Departamento
Dpto San Martín - 3Pax.,1728416,9.5,200.0,Departamento de 1 dormitorio
Lacandona Hostel,1176932,7.9,7.0,Habitación Cuádruple Clásica
Duplex Ocampo,1244459,,77.0,Departamento de 2 dormitorios
Orfeo Suites Cordoba,3277323,7.6,64.0,Habitación Doble Estándar - 2 camas
M65 Luxury Suit,2277119,,24.0,Habitación Doble Deluxe - 1 o 2 camas
Departamento Nueva Córdoba,1846936,,9.0,Departamento de 1 dormitorio
cabaña,629637,4.5,33.0,Departamento de 1 dormitorio
Rental In The Sky Lujoso Departamento Temporario en Nueva Cordoba,2497561,10.0,1.0,Departamento de 2 dormitorios
Amplio Dpto Céntrico - 3Pax. By Inside,1530882,1.0,200.0,Departamento de 2 dormitorios
Alquiler temporario,2370399,,47.0,Departamento de 3 dormitorios
Torre Magna Cuarta,0,,,"a 1,3 km del centro"
Cordoba comfy apartment,1604957,1.0,350.0,Departamento de 2 dormitorios
CASONA REAL,1469153,9.0,1.0,Departamento de 2 dormitorios
Chacabuco 550,1665040,10.0,8.0,Departamento de 1 dormitorio
Casaquinta,1358041,9.0,45.0,Departamento de 1 dormitorio
Ciudad Prado Hotel,2359214,9.2,31.0,Habitación Doble Deluxe
Cordoba capital Departamento Gala,1358041,9.5,23.0,Departamento de 1 dormitorio
Holiday Inn Cordoba,0,,88.0,"a 6,8 km del centro"
Casi Guemes Hotel,1131417,5.2,9.0,Habitación Doble - 1 o 2 camas
Sol de Piedra Apart,0,,84.0,"a 0,9 km del centro"
DEPARTAMENTO 2 DORMITORIOS EN LA MEJOR UBICACION DE CBA,1659773,6.8,6.0,Departamento de 2 dormitorios
Pilsen II Guemes,1562433,8.2,8.0,Departamento de 1 dormitorio
Yrigoyen 111 Hotel,3057814,9.1,7.0,Habitación Doble Estándar - 2 camas
complejo cardinales,2000024,1.0,13.0,Departamento de 1 dormitorio
Tú mejor estadía,1259274,1.0,19.0,Departamento de 1 dormitorio
Hostel Spa Mediterranea,1326874,8.6,9.0,Habitación Doble Estándar - 2 camas
Alberdi con pile !,1783972,,15.0,Departamento de 1 dormitorio
Kube Apartments Express,2665464,8.5,1.0,Departamento de 1 dormitorio
Windsor Hotel,3532964,8.7,250.0,Habitación Deluxe - 1 cama grande
Refugio en altura,1741941,9.2,44.0,Departamento de 2 dormitorios
departamento completo en nueva Córdoba,1333349,1.0,7.0,Departamento de 1 dormitorio
Depto Saint michel cordoba centro,1900023,9.7,150.0,Departamento de 2 dormitorios
Espacioso Dpto Céntrico - 4Pax. By Inside,1530882,7.0,200.0,Departamento de 2 dormitorios
Depto Manzana Jesuita - 4Pax. By Inside,1654341,9.8,200.0,Departamento de 2 dormitorios
HOUSING CORDOBA - PB - Paso de los Andes,1719271,9.0,16.0,Casa de 2 habitaciones
Departamento Mariangeles DISTRITO F,76500910,9.5,14.0,Departamento de 1 dormitorio
Ituzaingo 783,1993851,7.6,11.0,Departamento de 2 dormitorios
Dept Amoblado a 2 cuadras del Hospital Cordoba,1481499,,26.0,Departamento de 1 dormitorio
Independencia 1096,0,,6.0,"a 1,4 km del centro"
Citadina Alojamiento General Paz Departamento Premium con cochera y amenities,2695094,10.0,15.0,Departamento de 2 dormitorios
Nueva Cordoba,1783972,,17.0,Departamento de 2 dormitorios
Savannah Cordoba Hotel,3693871,7.2,6.0,Habitación Cuádruple Estándar
Depto Río Negro,1477548,,22.0,Departamento de 1 dormitorio
Casa de Flores,0,,10.0,a 15 km del centro
Stay Suites,3432130,8.9,11.0,Habitación Doble Deluxe - 1 o 2 camas
Apartamento Nueva Córdoba,1888911,,11.0,Departamento de 1 dormitorio
MyM Amoblado en Córdoba Capital,1925949,9.8,45.0,Departamento de 1 dormitorio
CASA AMPLIA Y CONFORTABLE,2098790,10.0,28.0,Casa de 3 habitaciones
El Refugio,944456,,141.0,Habitación Doble - 2 camas
Amoblado en Güemes,2222249,7.5,11.0,Departamento de 1 dormitorio
Cenote de Cofico,4074123,10.0,22.0,Departamento de 1 dormitorio
Mairea II,0,,78.0,"a 1,1 km del centro"
Hotel Viena,1906744,8.2,1.0,Habitación Doble - 1 o 2 camas
La casa de los pájaros,1333349,,311.0,Casa de 2 habitaciones
Departamento Crisol,1888911,10.0,14.0,Departamento de 1 dormitorio
HERMOSO DÚPLEX DE CATEGORÍA COMPLETAMENTE EQUIPADO,2716082,7.0,15.0,Departamento Dúplex
Casa Roque Funes,0,,,Pileta
Casa Urbana Hotel,1702215,7.9,9.0,Habitación Doble Estándar
Azur Real Hotel Boutique & Spa,7099133,9.1,300.0,Habitación Doble Superior
Beautiful and cozy apartment,1679032,1.0,45.0,Casa de 1 dormitorio
Hotel de la Cañada,2962998,8.5,9.0,Habitación Doble Superior
Casa Gandhi - Valle Escondido,1888911,10.0,102.0,Casa de 1 dormitorio
Parque Las tejas Nva Cba,2000024,7.0,16.0,Departamento de 1 dormitorio
Departamento de 2 dormitorios en Nueva Córdoba,1962246,,15.0,Departamento de 2 dormitorios
DEPARTAMENTO ALDEA DEL PUENTE VILLA CARLOS PAZ,1604957,,301.0,Departamento de 2 dormitorios
CASA LA QUEBRADA,1192854,5.5,328.0,Casa de 2 habitaciones
Moderno departamento en complejo premium,2177804,9.3,45.0,Departamento de 1 dormitorio
THE HOTEL,2530949,8.5,1.0,Habitación Doble
Casa Grande kempes y aeropuerto Córdoba Capital,1762984,8.0,92.0,Casa de 3 habitaciones
Rubén Ariel melo,1234582587,,39.0,Villa de 1 dormitorio
Village Vistello,2308669,10.0,134.0,Departamento de 1 dormitorio
Dpto 3 dormitorios de categoría Obispo Trejo,2816083,4.0,1.0,Departamento de 3 dormitorios
Nueva Cordoba 1 Dormitorio (Plaza España),3177907,5.0,15.0,Departamento de 1 dormitorio
Apart Hotel Bari,2488918,9.0,2.0,Departamento de 2 dormitorios
La Posada De Vito,1185199,9.0,317.0,Departamento de 2 dormitorios
Cabañas Kehuen,933344,8.7,93.0,Casa de 1 dormitorio
Cabaña economica Bialet masse a 9 km de Cosquín,1111124,2.5,33.0,Departamento de 1 dormitorio
Terra Nostra,2938307,9.4,525.0,Casa de 2 habitaciones
Casa en Villa Carlos Paz solo apto para familias,1851874,,291.0,Departamento de 2 dormitorios
Cabaña Las Piedras A,2222249,10.0,384.0,Casa de 2 habitaciones
El oasis loft,2313333,,155.0,Departamento de 1 dormitorio
EL OASIS Habitaciones,2167378,8.4,155.0,Habitación Doble Pequeña
Villa sol,2413609,8.5,347.0,Casa de 2 dormitorios
Argent hous,2711143,4.0,51.0,Casa de 3 habitaciones
2 Dormitorios frente al Palacio Ferreyra,6172913,3.5,11.0,Departamento de 2 dormitorios
EL oasis Depto,2919102,10.0,155.0,Departamento de 2 dormitorios
Casa De Campo La Melisa Frente Al Río,4456843,,387.0,Casa de 2 habitaciones
Casa barrio Rosedal,5876613,,45.0,Villa de 3 dormitorios
Bucanaan hostel boutique,746237,8.5,13.0,Cama en habitación compartida de 6 camas
CASA ARTIGAS Hostel,438652,8.3,11.0,Litera en habitación mixta compartida
Aldea Hostel,710772,9.1,8.0,Cama en un dormitorio compartido de 6 camas con baño compartido
Why Not Guemes,592600,8.4,12.0,Litera en habitación mixta compartida
Rupestre Hostel,592600,7.3,1.0,Litera en habitación mixta compartida
El hospedaje familiar Hogar Dulce cercano a la Universidad Católica de Córdoba ofrece precios accesibles por noche ideal para estadias temporales,740750,6.9,16.0,Cama individual en habitación compartida masculina
